web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,image
"1781563350-11","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrenda- se T2 em Paio Pires, Seixal - Ler descrição","750 €","Seixal, Arrentela E Aldeia De Paio Pires - Hoje às 11:12","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-12","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T3 + Escritório - Frente de mar","3.700 €","Matosinhos E Leça Da Palmeira - Para o topo a 14 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-13","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T1 Mobilado","700 €","Santa Iria De Azoia, São João Da Talha E Bobadela - 14 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-14","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T3 Exclusivo no Parque das Nações(Expo), Parqueamento, Vista Rio e Ponte Vasco da Gama","2.400 €Negociável","Parque das Nações - Para o topo a 14 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-15","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T1 - Telheiras, Carnide - Arrendar","1.250 €","Carnide - Hoje às 19:03","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-16","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T2 na Quinta do Borel - Amadora - perto do Metro","1.300 €","Venteira - Hoje às 10:19","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-17","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T0 em Vila Franca de Xira","790 €","Vila Franca de Xira - Para o topo hoje às 16:03","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-18","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrendar T1 novo","1.000 €","Cacém E São Marcos - Para o topo hoje às 14:48","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-19","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T2 - Possível T3 - Porto - Remodelado - Transportes públicos na porta","1.200 €","Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau E Vitória - Hoje às 09:45","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-20","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrendo T2 Na Pontinha","800 €","Agualva E Mira-Sintra - Hoje às 14:20","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-21","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrendo T1 Espaçoso e remodelado em Queluz, junto PSP","1.100 €","Queluz E Belas - Hoje às 14:43","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-22","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Alugo Apartamento t0 em coimbra","470 €","Santo António dos Olivais - Hoje às 23:23","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-23","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento Recuperado C/ cozinha equipada-Centro da Amadora","950 €","Venteira - Hoje às 20:07","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-24","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T3 para arrendamento","990 €","Moita - Hoje às 16:31","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-25","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T1 Canidelo","950 €","Canidelo - Para o topo hoje às 15:24","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-26","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","FANTÁSTICO Apartamento totalmente REMODELADO, na Cova da Piedade","1.100 €Negociável","Almada, Cova Da Piedade, Pragal E Cacilhas - 14 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-27","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Aluguer de Apartamento T1 – Totalmente Renovado e Mobilado!","700 €","Viseu - Hoje às 12:10","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-28","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T1 ( studio) para alugar","600 €","Meinedo - Hoje às 23:00","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-29","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Aluga-se T1 no Concelho de Tábua","360 €","Bucelas - Hoje às 22:43","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-30","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T1 estação Rio Tinto desponivel  a partir 1 julho","850 €","Rio Tinto - Para o topo hoje às 12:38","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-31","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Descubra este acolhedor Apartamento T1, ideal para quem procura qualidade de vida, comodidade e proximidade a tudo.","800 €","Vila Franca de Xira - Hoje às 23:19","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-32","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T2 Sintra - Agualva cacem","870 €","Agualva E Mira-Sintra - Hoje às 23:20","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-33","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Alugo T1 Centro de Alcobaça","600 €","Alcobaça E Vestiaria - Hoje às 08:04","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-34","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrenda-se T2 em Oliveira de Azeméis","700 €","Oliveira De Azeméis, Santiago De Riba-Ul, Ul, Macinhata Da Seixa E Madail - Hoje às 08:01","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-35","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrenda-se T0 junto à Rotunda do Marquês no Porto","700 €","Paranhos - Hoje às 17:23","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-36","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T0 Marinha Grande","500 €","Leiria, Pousos, Barreira E Cortes - Hoje às 14:23","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-37","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T3 em Real","900 €","Real, Dume E Semelhe - Hoje às 14:10","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-38","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrendamento T5 com 320m2 centro histórico","2.500 €","Évora (São Mamede, Sé, São Pedro E Santo Antão) - Para o topo hoje às 15:30","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-39","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Em pleno Saldanha - T3 Renovado com Qualidade Superior, Luz Natural e Tudo à Porta","2.000 €","Arroios - 19 de maio de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-40","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrenda-se Apart T1","750 €","Arca E Ponte De Lima - Para o topo hoje às 19:47","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-41","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T3 Duplex Bairro alto","1.200 €","Estrela - Hoje às 17:54","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-42","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrenda -se T1+1 mobilado","750 €","Campanhã - 14 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-43","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento t1, com arrumos, Vila D"" este","700 €","Vilar de Andorinho - Hoje às 12:30","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-44","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T1 Mobilado","700 €","Santa Iria De Azoia, São João Da Talha E Bobadela - 14 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-45","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrendamento de Apartamento T1 - Darque","500 €","Darque - Hoje às 19:36","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-46","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T1 | Celas | Mobilado | Para arrendamento","650 €","Santo António dos Olivais - Hoje às 11:30","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-47","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T1 remodelado para arrendar em Olival Basto","850 €","Agualva E Mira-Sintra - Hoje às 11:01","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-48","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T1 (NOVO) – Real, Braga","825 €","Real, Dume E Semelhe - Hoje às 21:31","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-49","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento Sao Martinho Do Porto","700 €","São Martinho do Porto - Hoje às 16:57","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-50","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T3 com varanda, ar condicionado e elevador em Lisboa","910 €","Areeiro - Hoje às 10:32","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-51","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","T2 remodelado no Alto da Barra | Último andar | Primeira linha de mar.","2.950 €","Oeiras E São Julião Da Barra, Paço De Arcos E Caxias - 09 de junho de 2026","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/75x0iqj1u1uu1-PT/image;s=539x359;q=50"
"1781563353-52","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T2 sem mobília, em S. Salvador - Ílhavo","850 €","Ílhavo (São Salvador) - 08 de junho de 2026","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/xmga5qeybfjn2-PT/image;s=510x383;q=50"
"1781563353-53","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Excelente T2, na Rua Vasco da Gama 2º andar350m da praia, aluguer s...","850 €","Quarteira - 11 de junho de 2026","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/vfgfq3afgjwt-PT/image;s=510x383;q=50"
"1781563353-54","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T3- BATALHA","850 €","Batalha - 13 de junho de 2026","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/7d3dpbjh2o6p2-PT/image;s=510x383;q=50"
"1781563353-55","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Residencial Estudantes- Prédio Arrendamento Rua Santa Catarina -Porto","6.000 €","Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau E Vitória - 10 de junho de 2026","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/skiqhuxs6a4q-PT/image;s=538x359;q=50"
"1781563353-56","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento com 1 quartos - localizado em Paranhos Porto","950 €","Paranhos - 14 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-57","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamentos Novos Porto T1","920 €","Ramalde - 13 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-58","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T2 com varanda em Alvalade","2.825 €","Alvalade - Hoje às 15:15","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-59","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T1 com terraço em Av. da Liberdade - Marquês de Pombal","2.770 €","Santo António - Hoje às 16:16","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-60","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Moradia T3 com Piscina Privada | Luz de Tavira | Arrendamento Longo Pr","2.300 €","Luz De Tavira E Santo Estêvão - 12 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-61","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T3 - Arrendamento - Leça da Palmeira","3.150 €","Matosinhos E Leça Da Palmeira - 12 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-62","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T3+1 Mobilado no Grão Vasco em Benfica - Lisboa","4.000 €","Benfica - 11 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-63","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Arrendamento na Graça - Excelente T1 acabado de remodelar","1.250 €","São Vicente - Hoje às 15:09","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-64","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento com 2 quartos - localizado em Campo de Ourique Lisbon","2.549 €","Campo De Ourique - Hoje às 12:06","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-65","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","T0 Quinta da Portela Coimbra","700 €","Santo António dos Olivais - Para o topo a 14 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-66","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento com 2 quartos - localizado em Setubal","1.390 €","Azeitão (São Lourenço E São Simão) - 14 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-67","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T1 para arrendamento","1.050 €","Lordelo Do Ouro E Massarelos - 09 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-68","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Arrendamento de Apartamento T1 na rua João Luís Ricardo, 76","1.250 €","Carcavelos E Parede - 13 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-69","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Arrenda-se Apartamento T3 - S. Vitor -","1.000 €","Nogueira, Fraião E Lamaçães - 08 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-70","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","T1 Alcântara Mobilado","1.000 €","Alcântara - 08 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-71","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T1 - junto á Praia de São Julião - Carvoeira - Mafra","1.200 €","Carvoeira - 10 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-72","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T1 em Aveiro para Arrendar","800 €","Glória E Vera Cruz - 12 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-73","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T2 para arrendar em Arcozelo Barcelos","800 €","Arcozelo - 14 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-74","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T0+1 novo com varanda, equipado e mobilado, centro hist...","850 €","Braga (São José De São Lázaro E São João Do Souto) - 11 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-75","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","T2 ultimo piso com terraço em Madalena para arrendamento","1.250 €","Madalena - 14 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-76","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T1 Novo – Rua do Bonjardim, Porto","1.000 €","Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau E Vitória - 10 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-77","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T2 Bairro Afonso Costa - Setúbal","1.250 €","São Sebastião - 12 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-78","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Alugo T2 - vinhal - centro - vila nova de famalicao","900 €","Lousado - 14 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-79","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T2 para arrendamento - Braga","950 €","São Victor - 11 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-80","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T1, Rua Miguel Torga (Cidral)","850 €","Santo António dos Olivais - 12 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-81","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T3 para Arrendamento | Bairro do Girão | Santarém","1.050 €","União de Freguesias da cidade de Santarém - 09 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-82","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento com 2 quartos - localizado em Cedofeita Porto","980 €","Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau E Vitória - 14 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-83","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Arrendamento T2 Praia da Granja","1.200 €","São Felix da Marinha - 14 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-84","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T2 para arrendamento no centro da Costa da caparica, Luz.","1.400 €","Costa Da Caparica - 12 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563353-85","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T2, Pinhal Marrocos","1.100 €","Santo António dos Olivais - 12 de junho de 2026","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
